Gene_names	CTRL_4h_1	CTRL_4h_2	CTRL_4h_3	SWTX143_50mpk_4h_1	SWTX143_50mpk_4h_2	SWTX143_50mpk_4h_3
C1QL3	4	0	1	1	2	4
RSU1	299	394	322	211	229	186
CUBN	3	3	2	8	11	7
TRDMT1	27	42	40	48	33	35
VIM-AS1	5245	5129	5189	3115	4159	3224
VIM	16364	17913	17181	10792	12223	10681
ST8SIA6	2	4	4	3	3	1
ST8SIA6-AS1	0	0	0	0	0	0
HACD1	258	461	401	307	249	258
STAM-AS1	1	20	11	11	5	9
STAM	384	541	390	348	297	288
TMEM236	3	1	1	0	3	0
MRC1	9	2	19	11	19	9
MIR511	0	0	0	0	0	0
SLC39A12	1	1	0	0	0	0
SLC39A12-AS1	0	0	0	0	0	0
CACNB2	21	18	13	23	27	16
NSUN6	57	76	58	74	56	64
ARL5B	68	103	114	70	62	60
MALRD1	1	0	0	0	0	0
LOC101928834	0	0	0	0	0	0
PLXDC2	3370	6209	5254	4172	3553	3610
MIR4675	0	0	0	0	0	0
NEBL	362	449	396	648	506	554
C10orf113	0	0	0	0	0	0
NEBL-AS1	6	7	8	5	6	6
CASC10	70	275	134	77	75	93
MIR1915	1	3	1	0	0	0
SKIDA1	19	25	21	22	29	37
MLLT10	225	334	313	237	222	233
DNAJC1	361	621	575	259	263	245
EBLN1	1	3	4	0	2	0
LOC100130992	1	3	5	3	1	4
COMMD3	27	56	46	65	42	37
COMMD3-BMI1	0	0	0	0	0	0
BMI1	0	3	3	0	1	3
SPAG6	0	0	2	0	2	0
LOC100499489	7	15	9	14	15	11
PIP4K2A	222	311	244	159	189	170
ARMC3	0	0	0	0	0	1
MSRB2	103	218	129	235	222	163
PTF1A	0	0	0	0	0	0
C10orf67	1	13	4	1	0	0
MIR1254-2	0	0	0	0	0	0
OTUD1	84	160	130	107	94	90
KIAA1217	359	686	515	529	494	493
MIR603	0	0	0	0	0	0
ARHGAP21	670	1214	1100	822	710	690
PRTFDC1	0	1	0	2	0	1
ENKUR	6	11	7	5	18	9
THNSL1	39	69	54	79	69	59
LINC01516	0	0	0	0	0	0
GPR158-AS1	0	0	0	0	0	0
GPR158	1	0	1	0	0	0
LINC00836	0	0	2	0	0	0
LOC101929073	0	0	0	0	0	0
MYO3A	71	97	58	157	145	105
GAD2	0	0	1	1	0	1
APBB1IP	20	8	21	16	28	20
LOC101929117	0	0	0	0	0	0
LINC00264	0	0	0	0	1	0
LINC00202-2	0	0	0	0	0	0
PDSS1	29	28	32	28	22	20
ABI1	689	854	730	612	613	522
LINC00202-1	7	5	5	6	7	5
ANKRD26	103	160	127	119	125	106
YME1L1	1037	1478	1284	1054	846	920
MASTL	198	267	197	113	106	131
ACBD5	116	177	148	98	108	108
LRRC37A6P	1	0	0	2	0	2
PTCHD3	0	0	0	0	0	0
RAB18	639	888	748	616	533	632
MKX	0	0	0	0	0	0
MKX-AS1	0	0	0	0	0	0
ARMC4	2	4	5	4	5	4
MPP7	4	7	4	8	5	6
SNORD130	0	0	0	0	0	0
MIR8086	0	0	0	0	0	0
LOC105376468	0	0	0	0	1	0
WAC-AS1	77	104	81	81	76	73
WAC	782	861	821	675	775	625
BAMBI	260	323	239	172	150	157
LINC01517	0	0	0	0	0	0
LINC00837	0	0	0	0	0	0
C10orf126	0	0	0	0	0	0
LYZL1	0	0	0	0	0	0
SVIL-AS1	120	185	180	179	136	136
SVIL	276	337	312	390	401	336
MIR604	0	2	1	0	0	0
MIR938	0	0	0	0	0	1
KIAA1462	88	69	84	94	88	54
LOC101929279	1	0	0	0	0	0
MTPAP	61	68	63	40	36	44
GOLGA2P6	1	3	6	9	16	13
MIR7162	0	0	0	0	0	0
MAP3K8	85	120	102	82	62	68
LYZL2	0	0	0	0	0	0
SVILP1	2	1	0	0	1	3
LOC105376480	0	0	0	0	0	0
ZNF438	15	10	14	15	9	12
LOC101929352	0	1	0	0	0	0
ZEB1-AS1	16	24	14	15	15	10
ZEB1	266	290	274	231	267	217
ARHGAP12	138	226	234	186	153	164
KIF5B	711	898	797	475	449	481
EPC1	150	186	168	163	206	173
LOC102031319	0	0	0	0	0	0
LOC101929431	0	0	0	0	0	0
CCDC7	17	9	4	7	3	3
ITGB1	2413	3041	2717	1461	1479	1369
SNORA86	0	0	0	0	0	0
NRP1	162	160	134	127	136	114
LINC00838	0	0	0	0	0	0
PARD3	295	489	445	387	308	345
PARD3-AS1	0	1	1	2	2	4
CUL2	184	197	176	147	152	145
MIR3611	0	0	0	0	0	0
CREM	57	68	67	53	54	45
CCNY	364	440	431	399	399	420
GJD4	0	0	0	0	0	0
FZD8	22	22	14	16	19	13
MIR4683	0	0	0	0	0	0
PCAT5	0	0	0	0	0	0
ANKRD30A	0	0	0	0	0	0
LINC00993	0	0	0	0	0	0
MTRNR2L7	0	0	0	0	0	0
ZNF248	77	180	136	155	129	108
ZNF33BP1	0	0	1	1	1	1
FBXO46	35	79	71	87	67	55
ZNF33A	212	350	316	307	267	232
ZNF37A	220	368	317	243	209	232
LOC100129055	0	0	0	0	1	2
HSD17B7P2	24	73	61	34	28	23
SEPT7P9	0	2	2	0	1	2
LINC00999	8	31	20	25	23	15
ACTR3BP5	0	0	0	0	0	0
LOC441666	0	0	1	0	0	1
CCNYL2	3	5	4	2	3	3
LINC00839	130	192	156	101	117	92
ZNF37BP	115	152	91	192	134	140
ZNF33B	140	248	253	283	215	193
LINC01518	0	0	0	0	0	0
LOC283028	0	0	0	0	0	0
LOC105378269	0	0	0	0	0	0
BMS1	339	505	378	299	246	248
LOC101929445	0	0	0	0	0	0
LINC01264	0	0	0	0	0	0
MIR5100	0	0	0	0	0	0
RET	4	8	6	2	2	6
CSGALNACT2	229	351	321	220	164	170
RASGEF1A	45	82	70	32	38	31
FXYD4	0	0	0	0	0	0
HNRNPF	1645	1918	1778	1339	1356	1187
ZNF487	4	5	15	7	6	12
ZNF239	0	0	0	0	0	0
ZNF485	2	7	10	13	13	9
ZNF32-AS3	0	0	0	0	0	0
ZNF32	51	83	50	91	72	69
ZNF32-AS1	15	25	24	31	13	12
ZNF32-AS2	4	14	17	19	23	22
LOC102724264	0	0	0	0	0	0
HNRNPA3P1	42	11	15	11	24	32
LINC00619	0	0	0	0	0	0
LINC00840	0	0	0	0	0	0
LINC00841	0	0	0	0	0	0
C10orf142	0	0	0	0	0	0
CXCL12	66	75	111	67	114	110
TMEM72-AS1	0	0	3	2	2	4
TMEM72	0	0	0	1	0	0
RASSF4	19	26	37	21	19	10
C10orf10	24	50	137	19	18	12
C10orf25	6	11	14	5	6	2
ZNF22	157	269	256	174	132	147
RSU1P2	0	0	0	0	0	0
ANKRD30BP3	0	0	0	0	0	0
MIR3156-1	0	0	0	0	0	0
OR13A1	0	0	0	0	0	1
ALOX5	12	7	13	9	9	7
LOC102724323	0	0	0	0	0	0
MARCH8	138	227	195	209	168	165
ZFAND4	19	39	23	24	29	16
FAM21C	126	194	183	145	155	125
AGAP4	20	45	33	40	54	44
PTPN20	0	0	0	0	0	0
FRMPD2B	0	0	0	0	0	0
BMS1P5	3	7	10	6	8	6
FAM35BP	0	0	0	0	0	0
LOC102724593	15	30	18	40	38	31
SYT15	28	86	53	102	79	87
GPRIN2	1	2	3	3	2	2
NPY4R	10	11	6	10	11	12
CH17-360D5.1	0	0	0	0	0	0
LINC00842	294	542	448	516	443	426
HNRNPA1P33	181	223	194	159	159	166
ANXA8	335	497	446	442	468	404
FAM25C	0	0	0	0	0	0
FAM25G	0	0	0	0	0	0
AGAP9	6	16	12	16	18	12
BMS1P6	0	1	0	0	1	2
FAM35DP	2	1	1	0	2	1
ANTXRLP1	0	0	0	0	0	0
ANTXRL	0	1	0	0	0	0
FAM25BP	0	0	0	0	0	0
ANXA8L1	304	514	430	441	418	441
CTSLP2	0	0	0	0	0	0
LOC107001062	5	0	0	0	0	1
LOC105378292	0	1	1	0	0	0
ZNF488	7	9	2	8	10	8
RBP3	0	0	0	0	0	0
KLC1	212	430	305	207	221	195
GLUD1P7	0	1	0	1	0	0
AGAP12P	3	4	1	1	1	2
FRMPD2	0	0	1	0	0	0
MAPK8	194	277	216	166	168	173
ARHGAP22	33	65	41	61	56	62
WDFY4	2	2	0	3	4	2
LRRC18	0	0	0	0	0	0
MIR4294	0	0	0	0	0	0
VSTM4	7	12	11	19	16	17
FAM170B-AS1	0	0	0	0	0	0
FAM170B	0	0	0	0	0	0
C10orf128	0	0	0	0	0	0
C10orf71-AS1	0	0	0	0	0	0
C10orf71	0	0	0	0	0	0
DRGX	1	0	0	0	0	0
ERCC6	143	399	306	203	187	197
PGBD3	0	0	0	0	0	0
CHAT	0	0	0	0	0	0
SLC18A3	0	0	1	0	0	0
C10orf53	0	0	0	0	0	0
OGDHL	23	25	12	27	39	37
PARG	101	136	127	93	99	79
PARGP1	7	8	4	15	6	5
TIMM23B	54	90	72	61	50	77
AGAP7P	2	6	1	1	1	1
MSMB	0	0	0	0	0	0
NCOA4	1410	2254	1789	1374	1171	1050
TIMM23	165	278	256	189	167	197
AGAP6	95	174	139	133	106	116
FAM21EP	4	7	3	6	3	7
FAM21A	155	256	222	214	184	172
ASAH2	1	4	2	1	2	1
SGMS1	344	439	386	406	380	343
SGMS1-AS1	0	5	8	13	13	8
ASAH2B	5	20	10	11	7	7
A1CF	0	0	0	0	0	0
PRKG1	23	20	10	31	32	39
LOC102724719	0	0	0	0	0	0
MIR605	0	0	0	0	0	0
CSTF2T	191	316	256	249	237	218
PRKG1-AS1	7	10	4	15	8	12
DKK1	153	114	102	57	50	62
LINC01468	1	0	0	0	0	0
MBL2	0	0	0	0	0	0
PCDH15	0	0	0	0	0	0
LOC105378311	0	0	0	0	0	0
MIR548F1	0	0	0	0	0	0
MTRNR2L5	0	0	0	0	0	0
ZWINT	209	252	155	128	100	168
MIR3924	0	0	0	0	0	0
IPMK	39	38	32	25	40	18
CISD1	37	63	45	60	50	46
UBE2D1	109	152	126	133	113	114
TFAM	243	355	246	250	242	234
BICC1	113	103	115	123	95	97
FAM133CP	2	2	0	0	2	2
LINC00844	0	0	0	0	0	0
CCEPR	0	0	0	0	0	0
PHYHIPL	3	3	3	2	6	1
FAM13C	0	2	3	7	3	5
SLC16A9	166	286	260	263	233	257
MRLN	0	0	0	0	0	0
CCDC6	313	553	421	399	349	312
LINC01553	0	0	0	0	0	0
ANK3	28	5	8	5	4	36
CDK1	265	352	278	188	145	201
RHOBTB1	69	134	117	89	81	47
LINC00845	0	0	0	0	0	0
TMEM26	0	1	0	0	0	0
TMEM26-AS1	0	0	0	0	0	0
C10orf107	0	4	1	3	3	3
ARID5B	247	531	339	608	519	461
RTKN2	8	8	6	20	7	13
LOC283045	0	0	0	0	0	0
ZNF365	2	0	1	0	2	2
ADO	162	313	240	204	203	194
EGR2	11	2	21	7	36	14
NRBF2	121	178	143	88	85	75
JMJD1C	374	511	512	468	443	393
MIR1296	1	0	0	0	0	0
LOC105378330	0	0	0	0	0	0
JMJD1C-AS1	17	35	31	25	24	14
REEP3	660	1231	1007	621	511	555
ANXA2P3	1	1	5	3	2	6
LOC101928887	0	0	0	0	0	0
LINC01515	5	9	7	12	6	9
CTNNA3	0	0	0	0	0	1
LOC101928961	0	0	0	0	0	0
LRRTM3	1	1	2	0	1	0
MIR7151	0	0	0	0	0	0
DNAJC12	0	0	0	0	0	2
SIRT1	142	188	182	166	127	143
HERC4	329	460	416	349	290	296
POU5F1P5	0	1	1	1	0	0
MYPN	0	1	1	2	3	36
ATOH7	0	1	0	0	0	0
PBLD	60	100	72	44	56	50
HNRNPH3	733	1096	783	831	683	683
RUFY2	365	594	429	467	343	412
DNA2	66	73	51	27	33	48
SLC25A16	59	116	69	69	49	56
TET1	3	7	2	3	5	5
CCAR1	636	693	657	500	500	486
SNORD98	0	1	1	1	2	0
MIR1254-1	8	10	10	8	8	3
STOX1	2	13	7	19	12	14
DDX50	497	482	431	442	418	402
DDX21	985	1418	1122	569	482	552
KIAA1279	231	461	377	216	197	192
SRGN	9	21	24	4	6	1
VPS26A	452	612	507	435	446	338
SUPV3L1	177	216	189	215	150	141
LOC101928994	0	0	0	0	1	0
HKDC1	56	42	39	22	8	4
HK1	471	703	707	313	279	236
TACR2	1	4	2	1	1	0
TSPAN15	132	207	138	252	197	233
NEUROG3	0	0	0	0	0	0
C10orf35	18	33	42	22	20	12
COL13A1	1	5	4	1	3	2
H2AFY2	75	76	51	50	55	58
AIFM2	199	381	293	247	232	200
TYSND1	97	205	167	108	104	76
SAR1A	1235	1572	1237	877	846	806
PPA1	561	941	686	550	394	493
NPFFR1	0	0	1	0	0	0
LRRC20	144	210	137	170	144	128
EIF4EBP2	635	1210	842	1013	784	762
PALD1	22	34	22	42	47	45
PRF1	0	1	0	1	0	1
ADAMTS14	23	47	28	11	21	19
TBATA	0	1	0	0	0	0
SGPL1	565	1136	846	544	564	445
PCBD1	266	633	394	352	242	267
LOC105378349	0	0	1	0	0	0
UNC5B	582	925	832	805	794	770
UNC5B-AS1	3	5	5	7	4	7
SLC29A3	28	59	52	37	38	32
CDH23	7	9	1	4	8	11
CHST11	130	202	143	135	115	93
SEC61A1	3309	5397	4032	2509	2349	2208
LOC102723377	0	0	0	0	0	0
C10orf105	1	3	1	6	5	1
C10orf54	641	1571	842	1417	1121	1246
MIR7152	0	0	0	0	0	0
AKR1D1	0	0	0	0	2	0
GPI	1906	3290	2988	1668	1453	1486
PSAP	6266	11250	10019	6988	6746	5939
CHST3	565	1155	967	541	402	519
SPOCK2	23	50	29	156	132	95
ASCC1	125	214	151	179	133	150
ANAPC16	360	694	547	627	527	523
DDIT4	516	1202	1898	326	361	294
DNAJB12	345	667	548	401	367	366
MICU1	108	215	155	147	128	121
MCU	199	281	211	263	220	229
MIR4676	0	0	0	0	0	0
OIT3	2	0	0	2	1	0
PLA2G12B	0	0	0	0	0	0
P4HA1	1096	1760	1649	803	716	616
NUDT13	23	25	10	17	13	18
ECD	192	251	190	183	133	179
FAM149B1	96	230	146	176	134	130
DNAJC9	229	400	300	216	135	182
DNAJC9-AS1	22	35	29	20	37	31
MRPS16	300	525	425	395	324	344
CFAP70	16	27	24	39	27	21
ANXA7	553	968	781	498	408	406
MSS51	7	24	12	21	17	18
PPP3CB	518	504	503	514	489	644
PPP3CB-AS1	59	114	62	87	75	63
USP54	586	605	461	630	620	497
MYOZ1	5	2	23	30	61	580
SYNPO2L	40	52	47	14	12	15
AGAP5	38	61	62	56	48	40
BMS1P4	26	44	40	43	27	33
GLUD1P3	11	11	15	9	9	9
SEC24C	977	1477	1215	902	818	804
FUT11	106	225	241	87	76	75
CHCHD1	56	100	87	67	84	64
ZSWIM8	802	1079	957	1073	1122	949
ZSWIM8-AS1	240	364	296	348	300	294
NDST2	366	494	475	557	513	406
CAMK2G	583	702	651	556	550	622
C10orf55	5	1	0	1	1	1
PLAU	16	6	11	5	8	3
VCL	1994	2346	1830	1798	1516	1757
AP3M1	691	980	779	631	532	582
ADK	164	186	139	118	93	149
LOC102723439	0	0	0	1	0	2
KAT6B	205	279	238	319	347	303
LOC101929165	0	1	1	0	0	0
DUPD1	0	0	0	0	0	2
DUSP13	0	0	0	0	0	0
SAMD8	287	410	335	301	275	245
VDAC2	750	1144	952	784	662	687
COMTD1	63	141	106	105	95	77
ZNF503	404	800	706	541	611	462
ZNF503-AS1	0	1	1	0	1	0
ZNF503-AS2	60	127	110	86	80	65
LOC101929234	7	16	17	11	5	11
C10orf11	30	56	44	17	36	22
MIR606	0	0	0	0	0	0
LOC105378367	0	0	0	0	0	0
KCNMA1	1030	1582	791	1190	1282	1005
KCNMA1-AS1	0	2	0	3	3	3
KCNMA1-AS2	0	0	0	0	0	0
KCNMA1-AS3	1	1	1	0	0	1
DLG5	899	1433	1019	970	908	890
DLG5-AS1	1	4	2	0	2	2
POLR3A	172	238	195	160	150	137
RPS24	3483	6311	5310	3983	3995	3593
LINC00856	0	0	0	0	0	0
LINC00595	0	1	0	0	0	0
ZMIZ1-AS1	7	13	12	8	9	10
ZMIZ1	1022	1296	1224	968	951	857
PPIF	399	517	464	311	250	314
ZCCHC24	243	374	286	327	277	291
LOC729815	0	0	0	0	0	0
EIF5AL1	60	45	41	38	49	40
SFTPA2	0	0	0	0	0	0
SFTPA1	0	0	0	0	0	0
LOC105378385	0	2	3	2	1	0
BEND3P3	49	78	66	70	65	45
NUTM2B-AS1	79	128	105	87	67	76
NUTM2B	4	4	5	6	8	3
LOC642361	38	75	52	44	54	52
BMS1P21	0	0	0	0	0	0
MBL1P	0	0	0	0	0	0
SFTPD	87	14	14	137	138	51
TMEM254-AS1	8	16	9	31	16	18
TMEM254	56	107	80	101	89	87
PLAC9	15	34	21	28	15	15
ANXA11	1084	2055	1510	1192	1168	1055
LINC00857	51	70	46	59	66	48
LOC100130698	0	0	1	2	0	0
MAT1A	1	1	0	1	1	0
DYDC1	0	0	0	0	0	0
DYDC2	0	0	0	0	0	0
FAM213A	35	86	77	33	37	28
TSPAN14	377	603	473	284	252	210
LOC101929574	0	1	2	4	0	2
LOC102723703	12	15	12	3	5	5
SH2D4B	0	0	0	0	1	1
NRG3	0	0	0	0	0	0
NRG3-AS1	0	0	0	0	0	0
LOC105378397	0	0	0	0	0	0
GHITM	803	1190	978	728	706	704
HOST2	0	0	0	0	0	0
C10orf99	0	0	0	0	0	0
CDHR1	0	0	1	0	0	1
LRIT2	0	0	0	0	0	0
LRIT1	0	0	0	0	0	0
RGR	0	0	0	0	0	0
LINC00858	0	0	0	0	0	0
CCSER2	267	486	409	333	296	244
LINC01519	0	0	0	0	0	0
LOC101929646	0	0	0	0	0	0
LOC101929662	0	0	0	0	0	0
LINC01520	0	0	0	0	0	0
GRID1-AS1	0	0	0	0	0	0
GRID1	5	14	13	4	3	4
MIR346	0	0	0	0	0	0
WAPL	534	574	517	471	387	417
OPN4	1	0	0	0	0	0
LDB3	6	7	39	30	52	644
BMPR1A	243	394	321	330	280	308
MMRN2	7	13	10	21	23	20
SNCG	27	89	51	53	28	36
ADIRF	1	3	4	2	3	3
AGAP11	1	2	1	0	0	1
FAM25A	0	0	0	0	0	0
GLUD1	816	947	863	618	656	624
FAM35A	150	280	268	193	135	157
NUTM2A	2	3	0	6	4	2
NUTM2A-AS1	65	114	102	75	59	75
LINC00863	19	67	55	52	53	49
NUTM2D	15	12	11	22	15	20
LINC00864	0	0	0	0	0	0
MIR4678	0	0	0	0	0	1
MINPP1	178	256	188	195	173	165
PAPSS2	1170	1697	1409	891	777	886
ATAD1	395	606	536	408	360	431
CFL1P1	1	6	3	4	11	2
KLLN	3	14	8	15	10	9
PTEN	1069	1296	1108	1163	1195	1037
RNLS	29	22	15	30	33	22
LIPJ	0	0	0	0	0	0
LIPF	0	0	0	0	0	0
LIPK	1	0	1	0	0	0
LIPN	0	0	0	0	0	0
LIPM	0	0	1	0	0	0
ANKRD22	0	0	0	0	1	0
STAMBPL1	11	20	18	21	16	22
ACTA2-AS1	871	302	286	484	299	510
ACTA2	1645	763	614	951	634	944
SGSM3	116	300	203	178	192	173
FAS	299	471	365	255	205	270
FAS-AS1	0	1	2	0	1	1
MIR4679-2	0	0	0	0	0	0
MIR4679-1	0	0	0	0	0	0
CH25H	2	0	2	1	0	1
LIPA	531	1052	807	364	313	288
IFIT2	186	295	296	108	70	57
IFIT3	158	264	395	121	107	86
IFIT1B	0	1	0	0	0	0
IFIT1	212	371	427	195	119	133
IFIT5	104	232	228	108	90	106
SLC25A46	348	577	485	340	270	328
UNC80	1	0	0	0	0	0
SLC16A12-AS1	0	0	0	0	0	0
PANK1	23	46	29	10	14	17
MIR107	0	0	0	0	0	0
FLJ37201	1	0	5	4	1	2
KIF20B	148	171	110	80	73	95
LINC00865	0	1	0	0	0	0
LINC01375	0	0	0	0	0	0
LOC101926942	0	0	0	0	0	0
HTR7	3	1	0	1	2	1
RPP30	132	164	119	151	146	133
ANKRD1	27	51	36	7	6	18
XLOC_008559	0	0	0	0	0	0
LOC105378430	0	0	0	0	0	0
LINC00502	0	0	0	0	0	0
NUDT9P1	1	0	0	3	0	0
PCGF5	304	412	402	291	277	253
HECTD2-AS1	0	0	2	0	0	1
HECTD2	46	88	92	81	65	60
PPP1R3C	25	45	94	39	53	33
TNKS2-AS1	0	0	0	0	0	1
TNKS2	466	671	585	575	537	586
FGFBP3	0	2	1	1	1	0
BTAF1	338	395	412	355	339	341
CPEB3	40	63	60	48	52	69
MARCH5	424	528	453	446	454	399
MARK2P9	7	10	5	4	5	3
IDE	555	852	620	446	383	421
KIF11	272	357	267	172	150	206
HHEX	9	8	3	7	9	10
EXOC6	84	100	98	116	107	134
CYP26C1	0	0	0	0	0	0
CYP26A1	33	62	54	38	44	22
MYOF	5471	9786	8202	4274	3523	3632
CEP55	407	791	572	199	139	255
FFAR4	0	0	1	1	1	1
RBP4	1	2	1	1	2	2
PDE6C	1	2	3	4	1	9
FRA10AC1	68	134	123	118	109	114
LGI1	2	2	2	3	6	5
SLC35G1	8	11	8	9	8	2
PIPSL	8	3	6	0	2	8
PLCE1	56	66	55	73	61	62
PLCE1-AS2	0	0	0	0	0	0
PLCE1-AS1	1	4	4	9	4	6
NOC3L	168	210	153	143	103	117
TBC1D12	53	77	67	95	75	70
HELLS	99	66	50	51	44	39
CYP2C18	0	0	0	0	0	0
CYP2C19	0	0	0	0	0	0
CYP2C9	0	0	0	0	0	1
CYP2C8	4	13	5	7	3	3
ACSM6	0	1	0	0	0	0
PDLIM1	3709	6832	5261	2602	2381	2376
SORBS1	28	56	51	90	139	81
ALDH18A1	719	1230	987	611	539	540
TCTN3	414	628	486	502	424	430
ENTPD1	41	92	65	71	44	45
ENTPD1-AS1	2	6	4	4	5	4
C10orf131	0	1	0	0	0	0
CC2D2B	4	1	2	2	2	0
CCNJ	62	80	75	57	37	49
MIR3157	0	0	0	0	0	0
ZNF518A	102	139	155	138	123	125
BLNK	0	1	0	2	1	1
OPALIN	0	0	0	0	0	0
TLL2	0	5	2	1	1	2
TM9SF3	1967	2447	2133	1672	1497	1500
PIK3AP1	12	6	17	12	20	12
MIR607	0	0	0	0	0	0
LOC102723665	3	5	2	5	1	8
LCOR	178	250	186	168	140	151
C10orf12	51	47	55	27	20	12
SLIT1	21	7	5	4	4	3
SLIT1-AS1	0	0	0	0	0	0
ARHGAP19-SLIT1	0	0	0	0	0	0
ARHGAP19	21	38	33	29	22	27
FRAT1	2	3	0	1	4	1
FRAT2	8	9	3	7	7	5
RRP12	252	300	249	130	111	129
PGAM1	842	1551	1365	626	476	517
EXOSC1	67	138	100	75	77	84
ZDHHC16	260	391	313	205	203	215
MMS19	501	825	655	526	424	452
UBTD1	238	500	451	247	241	232
ANKRD2	56	158	91	22	19	32
HOGA1	61	158	110	86	80	81
C10orf62	0	3	2	1	0	1
MORN4	36	84	59	81	69	47
PI4K2A	261	393	338	186	223	203
AVPI1	67	115	92	81	77	76
MARVELD1	451	895	732	713	733	598
ZFYVE27	121	275	195	203	152	176
SFRP5	13	7	2	71	56	58
LINC00866	0	0	1	0	0	0
GOLGA7B	8	16	10	36	26	18
CRTAC1	0	1	0	2	3	0
R3HCC1L	75	124	100	85	89	84
LOXL4	61	165	95	92	65	47
PYROXD2	63	180	111	194	176	136
MIR1287	0	0	0	0	0	0
HPS1	216	478	367	380	325	256
MIR4685	0	0	1	1	0	0
LOC101927278	2	2	1	0	0	0
HPSE2	1	0	0	0	0	3
MIR6507	0	0	0	0	0	0
CNNM1	121	170	95	117	115	97
GOT1	178	312	223	170	104	167
LINC01475	0	0	0	0	0	0
NKX2-3	0	0	0	0	0	0
SLC25A28	199	285	245	228	238	255
ENTPD7	217	300	207	149	112	111
COX15	289	457	382	345	307	275
CUTC	49	88	57	59	40	48
ABCC2	10	20	16	8	11	6
DNMBP	464	893	694	475	369	371
DNMBP-AS1	70	130	100	70	60	40
CPN1	0	0	0	0	0	0
ERLIN1	678	922	746	649	513	490
CHUK	232	288	259	213	184	187
CWF19L1	165	288	211	223	179	180
SNORA12	0	1	1	0	0	1
BLOC1S2	190	321	238	173	168	161
PKD2L1	1	0	0	2	0	1
SCD	2407	15792	13114	323	451	304
OLMALINC	23	77	58	27	22	22
WNT8B	2	3	2	2	1	5
SEC31B	160	303	249	352	348	293
NDUFB8	216	330	265	222	190	183
HIF1AN	348	691	484	446	402	400
PAX2	1	1	0	4	1	4
SLF2	277	407	328	284	276	223
SEMA4G	60	170	114	138	135	99
MIR608	0	0	0	0	0	0
MRPL43	177	331	298	267	269	220
C10orf2	96	122	77	65	49	57
LZTS2	279	514	457	402	399	313
PDZD7	46	73	60	59	54	47
SFXN3	471	1086	880	554	529	455
KAZALD1	9	17	14	16	15	10
TLX1NB	0	0	0	0	0	1
TLX1	1	0	0	0	1	0
LINC01514	0	0	0	1	0	0
LBX1	0	0	2	2	0	4
LBX1-AS1	0	0	0	0	0	0
LOC101927419	0	0	0	0	0	0
BTRC	210	352	263	307	261	258
POLL	141	291	258	218	231	214
MIR3158-1	0	0	0	0	0	0
MIR3158-2	0	0	1	1	1	0
FBXW4	246	459	388	346	269	244
FGF8	0	1	1	1	0	0
NPM3	92	185	110	122	85	125
MGEA5	782	1111	951	989	904	876
KCNIP2-AS1	3	11	5	10	8	6
KCNIP2	9	32	23	20	23	26
C10orf76	164	259	193	166	152	214
HPS6	94	178	136	104	84	85
LDB1	738	932	936	1241	1367	1103
PPRC1	551	766	615	398	317	374
NOLC1	768	1136	907	629	479	568
ELOVL3	1	0	1	0	0	0
PITX3	5	7	5	3	3	10
GBF1	959	1268	1063	868	774	836
NFKB2	664	880	859	440	464	425
PSD	10	13	9	11	13	14
FBXL15	41	84	78	66	56	61
CUEDC2	258	330	303	307	313	295
MIR146B	0	0	0	0	0	0
RPARP-AS1	23	68	52	47	31	43
C10orf95	11	19	10	10	11	14
MFSD13A	8	22	15	8	14	6
ACTR1A	583	911	778	435	471	446
SUFU	173	287	212	239	217	193
TRIM8	622	930	850	614	675	553
ARL3	157	245	209	174	162	175
SFXN2	36	37	26	46	25	29
WBP1L	534	707	652	602	558	520
CYP17A1	3	8	10	5	5	2
BORCS7	53	90	68	68	68	77
BORCS7-ASMT	0	0	0	0	0	0
AS3MT	1	1	1	0	2	3
CNNM2	50	56	50	55	74	52
NT5C2	714	1064	770	555	464	478
RPEL1	6	2	3	1	5	3
INA	0	0	0	0	0	0
PCGF6	40	60	55	36	25	24
TAF5	74	118	120	81	71	71
USMG5	141	292	224	164	144	152
MIR1307	0	0	0	0	0	0
PDCD11	375	474	368	293	233	266
CALHM2	109	192	170	219	188	155
CALHM1	0	1	1	0	1	0
CALHM3	0	0	0	1	0	1
NEURL1-AS1	0	0	0	0	0	0
NEURL1	16	8	4	13	14	58
SH3PXD2A	1427	1981	1667	1329	1259	1061
SH3PXD2A-AS1	0	0	0	0	0	0
OBFC1	89	173	135	101	109	91
SLK	350	415	447	313	291	297
ARRDC3	201	217	323	256	234	256
MIR936	0	0	0	0	0	0
SFR1	20	31	31	18	26	17
CFAP43	12	13	14	17	28	18
MIR609	0	0	0	0	0	0
GSTO1	269	422	399	335	294	246
MIR4482	1	1	1	1	0	0
GSTO2	3	4	5	7	1	2
ITPRIP	318	431	399	358	332	310
LOC101927472	0	0	1	3	0	1
CFAP58-AS1	0	1	1	0	0	0
CFAP58	17	15	28	8	8	4
LOC101927523	0	0	0	0	0	0
SORCS3	0	0	0	0	0	0
SORCS3-AS1	0	0	0	0	0	0
LOC101927549	0	0	0	0	0	0
LOC105378470	0	0	0	0	0	0
SORCS1	0	1	0	3	0	9
LINC01435	0	0	0	0	0	1
XPNPEP1	317	512	403	416	351	357
ADD3-AS1	2	9	8	11	10	16
ADD3	129	220	187	400	287	331
MXI1	201	274	311	305	266	225
SMNDC1	274	367	320	215	214	210
